Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1_get_method,5000,5015,117,83171,16070.96,3.300%,9.60224,2.35,1.44,250.6
2_user_info_2,5000,5184,117,83171,16683.12,3.720%,9.60229,4.53,2.31,483.1
3_user_info_3,5000,5344,118,83097,16790.92,3.700%,9.60246,3.36,2.31,358.4
4_object_info_1,5000,5159,117,83143,16407.08,3.460%,9.60582,2.83,1.56,301.8
5_object_info_2,5000,5338,117,83217,16831.03,3.700%,9.61193,4.53,1.57,482.6
6_object_info_3,5000,5100,117,83171,16380.02,3.620%,9.61670,3.98,1.57,424.0
7_object_info_4,5000,5627,117,83199,17461.50,4.080%,9.62286,2.92,1.57,310.5
TOTAL,35000,5253,117,83217,16666.78,3.654%,67.10676,24.44,12.31,373.0
