Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1_get_method,2500,382,117,75485,3169.07,0.040%,9.05676,1.53,1.41,173.0
2_user_info_2,2500,389,118,75496,4028.82,0.240%,9.06599,3.61,2.26,408.2
3_user_info_3,2500,404,118,75496,3689.83,0.160%,9.07247,2.46,2.26,277.6
4_object_info_1,2500,987,117,75504,7637.06,0.920%,9.07728,2.15,1.51,242.5
5_object_info_2,2500,987,117,75563,7001.98,0.640%,9.07790,3.69,1.53,416.8
6_object_info_3,2500,901,117,75528,6672.20,0.640%,9.07813,3.18,1.53,358.2
7_object_info_4,2500,597,117,75498,5012.38,0.320%,9.07787,1.97,1.54,222.5
TOTAL,17500,664,117,75563,5572.58,0.423%,63.22209,18.51,11.99,299.8
